# COLLAPSE_WIDTH
# Pixel Type Legend -1:background 0:surface 1:volume_data 2:surface_data 3:particle_data 4:iso_data 99:Mixed
# 1:j-pixel  2:type      3:x-avg      4:y-avg      5:z-avg    6:average        7:min        8:max
        144       1   0.00142971     0.991951   -0.0283342     0.795834     0.776016     0.817613
        145       1  -0.00376375     0.981564   -0.0283342     0.660598     0.643883     0.673246
        146       1   0.00142971     0.971178   -0.0283342     0.617982      0.60718     0.626755
        147       1  -0.00895721     0.960791   -0.0283342     0.602953     0.594945      0.61452
        148       1   0.00142971     0.950404   -0.0283342     0.593372     0.585158     0.602286
        149       1  -0.00895721     0.940017   -0.0283342     0.585505      0.57537     0.592498
        150       1  -0.00895721      0.92963   -0.0283342     0.582335     0.572923     0.590051
        151       1   0.00142971     0.919243   -0.0283342     0.578739     0.572923     0.585158
        152       1  -0.00895721     0.908856   -0.0283342      0.57685     0.570476     0.582711
        153       1  -0.00895721     0.898469   -0.0283342     0.574759     0.568029     0.580264
        154       1   0.00142971     0.888082   -0.0283342     0.572765     0.565582     0.580264
        155       1  -0.00376375     0.877695   -0.0283342     0.570646     0.563135     0.577817
        156       1  -0.00895721     0.867308   -0.0283342      0.56845     0.560689      0.57537
        157       1  -0.00895721     0.856921   -0.0283342     0.566456     0.558242     0.572923
        158       1  -0.00376375     0.846534   -0.0283342     0.564132     0.555795     0.570476
        159       1   0.00142971     0.836148   -0.0283342     0.563131     0.555795     0.570476
        160       1   0.00142971     0.825761   -0.0283342     0.561623     0.555795     0.570476
        161       1  -0.00895721     0.815374   -0.0283342     0.561028     0.553348     0.568029
        162       1  -0.00895721     0.804987   -0.0283342     0.560583     0.553348     0.568029
        163       1  -0.00895721       0.7946   -0.0283342     0.559726     0.553348     0.565582
        164       1   -0.0193441     0.784213   -0.0283342     0.558323     0.553348     0.563135
        165       1   -0.0245376     0.773826   -0.0283342     0.556666     0.553348     0.560689
        166       1  -0.00895721     0.763439   -0.0283342     0.555726     0.550901     0.560689
        167       1   0.00142971     0.753052   -0.0283342     0.555095     0.550901     0.560689
        168       1   0.00142971     0.742665   -0.0283342     0.554488     0.548454     0.560689
        169       1  -0.00895721     0.732278   -0.0283342     0.553797     0.548454     0.560689
        170       1   -0.0193441     0.721891   -0.0283342     0.553372     0.546007     0.558242
        171       1   -0.0245376     0.711504   -0.0283342     0.552886     0.546007     0.558242
        172       1   -0.0245376     0.701118   -0.0283342     0.552295      0.54356     0.558242
        173       1   -0.0193441     0.690731   -0.0283342     0.551479      0.54356     0.555795
        174       1   0.00142971     0.680344   -0.0283342     0.550586     0.541113     0.555795
        175       1   0.00142971     0.669957   -0.0283342     0.550007     0.541113     0.555795
        176       1   0.00142971      0.65957   -0.0283342     0.549279     0.541113     0.555795
        177       1   0.00142971     0.649183   -0.0283342     0.548397     0.541113     0.555795
        178       1  -0.00895721     0.638796   -0.0283342     0.547277     0.541113     0.555795
        179       1   -0.0193441     0.628409   -0.0283342     0.546311     0.538666     0.553348
        180       1   -0.0193441     0.618022   -0.0283342     0.545518     0.538666     0.553348
        181       1   -0.0245376     0.607635   -0.0283342     0.544966     0.538666     0.553348
        182       1   -0.0245376     0.597248   -0.0283342     0.544298     0.538666     0.553348
        183       1   -0.0193441     0.586861   -0.0283342     0.543431      0.53622     0.553348
        184       1  -0.00895721     0.576474   -0.0283342     0.542703      0.53622     0.553348
        185       1   0.00142971     0.566088   -0.0283342     0.541882     0.533773     0.550901
        186       1   0.00142971     0.555701   -0.0283342     0.540907     0.533773     0.550901
        187       1   0.00142971     0.545314   -0.0283342     0.539888     0.533773     0.548454
        188       1   0.00142971     0.534927   -0.0283342     0.539043     0.531326     0.548454
        189       1   0.00142971      0.52454   -0.0283342     0.537874     0.531326     0.546007
        190       1  -0.00895721     0.514153   -0.0283342     0.536822     0.531326      0.54356
        191       1    -0.040118     0.503766   -0.0283342     0.535427     0.526432     0.541113
        192       1   -0.0505049     0.493379   -0.0283342     0.533874     0.523985     0.538666
        193       1   -0.0505049     0.482992   -0.0283342     0.532135     0.523985      0.53622
        194       1   -0.0505049     0.472605   -0.0283342     0.530408     0.523985     0.533773
        195       1   -0.0505049     0.462218   -0.0283342     0.529227     0.521538     0.533773
        196       1    -0.040118     0.451831   -0.0283342      0.52862     0.521538     0.533773
        197       1   -0.0193441     0.441444   -0.0283342     0.528248     0.523985     0.531326
        198       1  -0.00895721     0.431057   -0.0283342     0.527953     0.523985     0.531326
        199       1   0.00142971     0.420671   -0.0283342     0.527864     0.523985     0.531326
        200       1   0.00142971     0.410284   -0.0283342     0.527633     0.521538     0.531326
        201       1   0.00142971     0.399897   -0.0283342     0.527289     0.521538     0.531326
        202       1   0.00142971      0.38951   -0.0283342     0.526525     0.521538     0.531326
        203       1  -0.00895721     0.379123   -0.0283342     0.525421     0.521538     0.528879
        204       1   -0.0297311     0.368736   -0.0283342     0.524458     0.519091     0.528879
        205       1    -0.040118     0.358349   -0.0283342     0.523451     0.519091     0.528879
        206       1   -0.0505049     0.347962   -0.0283342     0.522432     0.516644     0.526432
        207       1   -0.0505049     0.337575   -0.0283342     0.521708     0.516644     0.526432
        208       1   -0.0505049     0.327188   -0.0283342     0.521194     0.516644     0.523985
        209       1   -0.0505049     0.316801   -0.0283342     0.520681     0.516644     0.523985
        210       1   -0.0505049     0.306414   -0.0283342     0.520288     0.514197     0.523985
        211       1   -0.0297311     0.296027   -0.0283342     0.519621     0.514197     0.523985
        212       1   -0.0141507     0.285641   -0.0283342     0.519237     0.514197     0.523985
        213       1   0.00142971     0.275254   -0.0283342     0.518784     0.514197     0.521538
        214       1   0.00142971     0.264867   -0.0283342     0.518044     0.514197     0.521538
        215       1   0.00142971      0.25448   -0.0283342     0.517332     0.514197     0.521538
        216       1   0.00142971     0.244093   -0.0283342     0.516697     0.514197     0.519091
        217       1   0.00142971     0.233706   -0.0283342     0.515662     0.511751     0.519091
        218       1  -0.00376375     0.223319   -0.0283342     0.514315     0.509304     0.519091
        219       1   -0.0193441     0.212932   -0.0283342     0.512814     0.509304     0.516644
        220       1    -0.040118     0.202545   -0.0283342      0.51112     0.506857     0.514197
        221       1   -0.0505049     0.192158   -0.0283342       0.5097     0.506857     0.511751
        222       1   -0.0505049     0.181771   -0.0283342     0.508458      0.50441     0.511751
        223       1   -0.0505049     0.171384   -0.0283342     0.507597      0.50441     0.509304
        224       1   -0.0505049     0.160997   -0.0283342     0.506788      0.50441     0.509304
        225       1   -0.0505049     0.150611   -0.0283342     0.506048     0.501963     0.509304
        226       1   -0.0505049     0.140224   -0.0283342     0.505393     0.501963     0.509304
        227       1   -0.0297311     0.129837   -0.0283342     0.504835     0.501963     0.506857
        228       1  -0.00895721      0.11945   -0.0283342      0.50428     0.501963     0.506857
        229       1   0.00142971     0.109063   -0.0283342     0.503965     0.501963     0.506857
        230       1   0.00142971    0.0986759   -0.0283342     0.503468     0.501963     0.506857
        231       1   0.00142971     0.088289   -0.0283342     0.502998     0.499516      0.50441
        232       1   0.00142971    0.0779021   -0.0283342     0.502614     0.499516      0.50441
        233       1   0.00142971    0.0675152   -0.0283342     0.502048     0.499516      0.50441
        234       1   0.00142971    0.0571282   -0.0283342     0.501381     0.497069      0.50441
        235       1   -0.0193441    0.0467413   -0.0283342     0.500624     0.497069     0.501963
        236       1   -0.0349245    0.0363544   -0.0283342     0.499889     0.494622     0.501963
        237       1   -0.0505049    0.0259675   -0.0283342      0.49918     0.494622     0.501963
        238       1   -0.0505049    0.0155805   -0.0283342     0.498626     0.494622     0.501963
        239       1   -0.0505049   0.00519362   -0.0283342     0.498165     0.494622     0.501963
        240       1   -0.0505049   -0.0051933   -0.0283342     0.497684     0.492175     0.499516
        241       1   -0.0505049   -0.0155802   -0.0283342     0.497146     0.492175     0.499516
        242       1   -0.0505049   -0.0259672   -0.0283342     0.496705     0.492175     0.499516
        243       1   -0.0349245   -0.0363541   -0.0283342     0.496024     0.492175     0.499516
        244       1   -0.0193441    -0.046741   -0.0283342      0.49529     0.492175     0.497069
        245       1   0.00142971   -0.0571279   -0.0283342     0.494881     0.492175     0.497069
        246       1   0.00142971   -0.0675148   -0.0283342     0.494303     0.489728     0.497069
        247       1   0.00142971   -0.0779018   -0.0283342     0.493652     0.489728     0.497069
        248       1   0.00142971   -0.0882887   -0.0283342     0.493122     0.489728     0.497069
        249       1   0.00142971   -0.0986756   -0.0283342     0.492543     0.489728     0.497069
        250       1   0.00142971    -0.109063   -0.0283342     0.491775     0.487282     0.494622
        251       1  -0.00895721    -0.119449   -0.0283342     0.490723     0.487282     0.494622
        252       1   -0.0297311    -0.129836   -0.0283342     0.489753     0.487282     0.494622
        253       1   -0.0505049    -0.140223   -0.0283342     0.488774     0.484835     0.492175
        254       1   -0.0505049     -0.15061   -0.0283342     0.487921     0.484835     0.492175
        255       1   -0.0505049    -0.160997   -0.0283342     0.487193     0.484835     0.489728
        256       1   -0.0505049    -0.171384   -0.0283342      0.48661     0.484835     0.489728
        257       1   -0.0505049    -0.181771   -0.0283342     0.486004     0.482388     0.489728
        258       1   -0.0505049    -0.192158   -0.0283342     0.485417     0.482388     0.489728
        259       1    -0.040118    -0.202545   -0.0283342     0.484693     0.482388     0.487282
        260       1   -0.0193441    -0.212932   -0.0283342     0.484022     0.479941     0.487282
        261       1  -0.00376375    -0.223319   -0.0283342     0.483409     0.479941     0.484835
        262       1   0.00142971    -0.233706   -0.0283342     0.482857     0.479941     0.484835
        263       1   0.00142971    -0.244093   -0.0283342     0.482554     0.479941     0.484835
