# COLLAPSE_WIDTH
# Pixel Type Legend -1:background 0:surface 1:volume_data 2:surface_data 3:particle_data 4:iso_data 99:Mixed
# 1:j-pixel  2:type      3:x-avg      4:y-avg      5:z-avg    6:average        7:min        8:max
        144       1   0.00142971     0.991951   -0.0283342     0.931378     0.921471     0.942379
        145       1  -0.00376375     0.981564   -0.0283342     0.861315     0.844809     0.872686
        146       1   0.00142971     0.971178   -0.0283342     0.810152     0.792539     0.823901
        147       1  -0.00895721     0.960791   -0.0283342     0.777777     0.761177     0.796024
        148       1   0.00142971     0.950404   -0.0283342     0.754191     0.736785     0.771631
        149       1  -0.00895721     0.940017   -0.0283342     0.736428     0.719362     0.754208
        150       1  -0.00895721      0.92963   -0.0283342     0.728502     0.712392     0.747239
        151       1   0.00142971     0.919243   -0.0283342     0.718434     0.705423     0.736785
        152       1  -0.00895721     0.908856   -0.0283342     0.712335     0.701938     0.729816
        153       1  -0.00895721     0.898469   -0.0283342     0.706581     0.694969     0.722846
        154       1   0.00142971     0.888082   -0.0283342     0.701339        0.688     0.715877
        155       1  -0.00376375     0.877695   -0.0283342     0.695736     0.681031     0.708908
        156       1  -0.00895721     0.867308   -0.0283342     0.690223     0.674061     0.701938
        157       1  -0.00895721     0.856921   -0.0283342     0.685621     0.670577     0.698454
        158       1  -0.00376375     0.846534   -0.0283342     0.679767     0.667092     0.691485
        159       1   0.00142971     0.836148   -0.0283342     0.676331     0.663607        0.688
        160       1   0.00142971     0.825761   -0.0283342     0.670963     0.656638     0.684515
        161       1  -0.00895721     0.815374   -0.0283342     0.668198     0.653153     0.677546
        162       1  -0.00895721     0.804987   -0.0283342     0.666021     0.649669     0.677546
        163       1  -0.00895721       0.7946   -0.0283342     0.663435     0.649669     0.674061
        164       1   -0.0193441     0.784213   -0.0283342     0.660244     0.649669     0.670577
        165       1   -0.0245376     0.773826   -0.0283342     0.655871     0.646184     0.663607
        166       1  -0.00895721     0.763439   -0.0283342     0.652894       0.6427     0.660123
        167       1   0.00142971     0.753052   -0.0283342     0.650423       0.6427     0.656638
        168       1   0.00142971     0.742665   -0.0283342     0.647774     0.639215     0.656638
        169       1  -0.00895721     0.732278   -0.0283342     0.645384     0.632246     0.653153
        170       1   -0.0193441     0.721891   -0.0283342     0.642895     0.628761     0.653153
        171       1   -0.0245376     0.711504   -0.0283342     0.640853     0.628761     0.649669
        172       1   -0.0245376     0.701118   -0.0283342     0.638725     0.621792     0.649669
        173       1   -0.0193441     0.690731   -0.0283342     0.635886     0.618307     0.646184
        174       1   0.00142971     0.680344   -0.0283342     0.632954     0.614822       0.6427
        175       1   0.00142971     0.669957   -0.0283342     0.630541     0.611338       0.6427
        176       1   0.00142971      0.65957   -0.0283342     0.628577     0.611338       0.6427
        177       1   0.00142971     0.649183   -0.0283342     0.626135     0.607853     0.639215
        178       1  -0.00895721     0.638796   -0.0283342     0.622777     0.604368     0.639215
        179       1   -0.0193441     0.628409   -0.0283342     0.620133     0.600884      0.63573
        180       1   -0.0193441     0.618022   -0.0283342     0.618232     0.600884      0.63573
        181       1   -0.0245376     0.607635   -0.0283342     0.616871     0.600884      0.63573
        182       1   -0.0245376     0.597248   -0.0283342     0.614961     0.597399     0.632246
        183       1   -0.0193441     0.586861   -0.0283342      0.61128     0.593915     0.632246
        184       1  -0.00895721     0.576474   -0.0283342     0.609299      0.59043     0.628761
        185       1   0.00142971     0.566088   -0.0283342     0.607652      0.59043     0.628761
        186       1   0.00142971     0.555701   -0.0283342     0.606246      0.59043     0.625276
        187       1   0.00142971     0.545314   -0.0283342     0.604749      0.59043     0.621792
        188       1   0.00142971     0.534927   -0.0283342      0.60324      0.59043     0.621792
